*165*s*1000 rwf transferred to linda green (250788999999) from 36521838 at 2024-05-31 15:39:56 . fee was: 20 rwf. new balance: 1480 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to samuel carter (250789888888) from 36521838 at 2024-06-01 01:43:33 . fee was: 100 rwf. new balance: 4880 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*5000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-01 11:30:05 . fee was: 100 rwf. new balance: 4780 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*10000 rwf transferred to alex doe (250790777777) from 36521838 at 2024-06-01 19:49:38 . fee was: 100 rwf. new balance: 3730 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to alex doe (250790777777) from 36521838 at 2024-06-02 17:28:41 . fee was: 100 rwf. new balance: 130 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250788999999) from 36521838 at 2024-06-03 09:24:24 . fee was: 100 rwf. new balance: 1530 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to alex doe (250791666666) from 36521838 at 2024-06-03 13:32:11 . fee was: 100 rwf. new balance: 1430 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to linda green (250790777777) from 36521838 at 2024-06-03 15:33:15 . fee was: 100 rwf. new balance: 4830 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-06-03 17:55:27 . fee was: 100 rwf. new balance: 3230 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to robert brown (250788999999) from 36521838 at 2024-06-05 09:49:59 . fee was: 100 rwf. new balance: 7930 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*3500 rwf transferred to jane smith (250789888888) from 36521838 at 2024-06-05 14:01:38 . fee was: 100 rwf. new balance: 4330 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*200000 rwf transferred to jane smith (250791666666) from 36521838 at 2024-06-05 18:07:34 . fee was: 1500 rwf. new balance: 4330 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to robert brown (250791666666) from 36521838 at 2024-06-05 18:29:19 . fee was: 100 rwf. new balance: 2230 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to jane smith (250788999999) from 36521838 at 2024-06-06 08:18:49 . fee was: 100 rwf. new balance: 4530 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-06 09:57:28 . fee was: 100 rwf. new balance: 2430 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250790777777) from 36521838 at 2024-06-06 13:54:42 . fee was: 100 rwf. new balance: 830 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to alex doe (250789888888) from 36521838 at 2024-06-06 18:06:14 . fee was: 100 rwf. new balance: 3630 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-06-07 07:52:59 . fee was: 20 rwf. new balance: 5310 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
